kepid,koi_disposition,maxFlux,minFlux,meanFlux,p2pFlux,varianceFlux
4455763,FALSE POSITIVE,1.001235227,0.996207617,0.999382104,0.00502761,7.79E-07
4456622,FALSE POSITIVE,1.003365675,0.993994248,0.999067111,0.009371427,2.61E-06
4458082,CONFIRMED,1.000346932,0.999414811,0.999999811,0.000932121,1.15E-08
4458109,FALSE POSITIVE,1.000086327,0.999895895,0.999998761,0.000190432,8.48E-10
4459068,FALSE POSITIVE,1.000088669,0.999288599,0.999985855,0.000800069,7.86E-09
4459503,FALSE POSITIVE,1.000114595,0.999899661,1.000002468,0.000214934,1.08E-09
4459924,FALSE POSITIVE,1.000102681,0.999887672,1.000002051,0.000215009,1.11E-09
4464689,FALSE POSITIVE,1.000193611,0.999750756,0.999999509,0.000442855,3.73E-09
4466356,FALSE POSITIVE,1.000133945,0.999856528,1.000004356,0.000277417,1.63E-09
4466677,CONFIRMED,1.000160564,0.999850081,1.000005399,0.000310483,3.17E-09
4469825,FALSE POSITIVE,1.000212896,0.999819629,0.999999447,0.000393267,5.23E-09
4470888,FALSE POSITIVE,1.000277831,0.99980001,1.000006534,0.000477821,5.40E-09
4472143,FALSE POSITIVE,1.000098327,0.999782021,1.000001262,0.000316306,1.16E-09
4472818,CONFIRMED,1.00221457,0.999122332,1.000014989,0.003092239,3.60E-08
4473226,CONFIRMED,1.006827748,0.990736457,0.999939212,0.01609129,5.96E-07
4473613,CONFIRMED,1.003735108,0.998807654,1.000012588,0.004927454,6.01E-08
4474637,FALSE POSITIVE,1.027562506,0.576781224,0.98241299,0.450781282,0.003861228
4474645,FALSE POSITIVE,1.012103411,0.99651569,1.000030419,0.015587721,1.42E-06
4476123,CONFIRMED,1.000281432,0.999684461,1.00000746,0.000596972,8.36E-09
4476423,FALSE POSITIVE,1.0005936,0.99950871,1.000000049,0.001084889,2.58E-08
4478168,CONFIRMED,1.000078891,0.999872296,1.000000163,0.000206595,7.62E-10
4479633,FALSE POSITIVE,1.000138338,0.999806271,1.000003803,0.000332067,1.73E-09
4480676,FALSE POSITIVE,1.000850951,0.998461389,0.999685396,0.002389562,2.39E-07
4482738,FALSE POSITIVE,1.000220793,0.999767982,1.000000558,0.000452811,5.50E-09
4483138,CONFIRMED,1.000769824,0.998643243,1.000006014,0.002126581,1.31E-08
4483235,FALSE POSITIVE,1.000265655,0.999566235,0.999999492,0.00069942,1.26E-08
4484312,FALSE POSITIVE,1.000080755,0.999873995,1.000002527,0.00020676,6.63E-10
4484336,CONFIRMED,1.000188154,0.999896214,1.000004081,0.000291939,1.77E-09
4484356,FALSE POSITIVE,1.016088347,0.968567846,0.990578777,0.047520501,8.62E-05
4489844,FALSE POSITIVE,1.004687086,0.990174251,0.999958994,0.014512834,6.53E-07
4540508,FALSE POSITIVE,1.001060875,0.99898322,1.000016448,0.002077654,3.43E-08
4540632,FALSE POSITIVE,1.006763762,0.933836031,0.997905562,0.07292773,9.75E-05
4544571,FALSE POSITIVE,1.000443074,0.999271378,0.999949516,0.001171696,4.73E-08
4544572,FALSE POSITIVE,1.000467322,0.999437842,0.99999151,0.00102948,2.90E-08
4544620,FALSE POSITIVE,1.000378545,0.999555294,1.00000747,0.000823252,1.59E-08
4544623,FALSE POSITIVE,1.01491926,0.983919934,1.000062321,0.030999326,4.68E-06
4544628,FALSE POSITIVE,1.000154725,0.999873089,1.000000487,0.000281636,1.44E-09
4544684,FALSE POSITIVE,1.000222905,0.999843547,1.000005761,0.000379358,2.87E-09
4544907,CONFIRMED,1.000171732,0.999772033,1.000004389,0.000399698,2.22E-09
4545187,CONFIRMED,1.000173187,0.999718055,0.999993129,0.000455132,4.54E-09
4545570,CONFIRMED,1.000343938,0.999777433,1.000010368,0.000566505,7.07E-09
4545926,FALSE POSITIVE,1.000113932,0.999915513,1.000000992,0.000198419,7.50E-10
4547480,FALSE POSITIVE,1.001430673,0.99913048,0.999996879,0.002300193,4.06E-08
4548162,FALSE POSITIVE,1.000450583,0.999689714,1.000016266,0.000760869,9.72E-09
4551328,FALSE POSITIVE,1.0003774,0.999660531,0.999980241,0.000716869,1.13E-08
4551663,FALSE POSITIVE,1.000134943,0.999862438,1.000002007,0.000272504,1.44E-09
4556468,CONFIRMED,1.000189757,0.999795378,1.000003772,0.000394379,2.37E-09
4557341,FALSE POSITIVE,1.000786865,0.993768204,0.999886416,0.007018661,5.83E-07
4563268,CONFIRMED,1.000388889,0.99940594,0.999997167,0.000982949,3.27E-09
4565943,FALSE POSITIVE,1.000152829,0.999703217,0.999996469,0.000449612,1.15E-09
4565985,FALSE POSITIVE,1.009244175,0.998014151,1.000035454,0.011230024,4.59E-07
4566999,FALSE POSITIVE,1.000203902,0.99968589,1.000004553,0.000518012,3.02E-09
4568117,FALSE POSITIVE,1.000089895,0.999936681,1.000001523,0.000153214,5.21E-10
4568298,FALSE POSITIVE,1.000270712,0.999752069,1.000011641,0.000518643,8.66E-09
4569590,FALSE POSITIVE,1.018552244,0.993276448,1.00002821,0.025275797,2.12E-06
4569942,FALSE POSITIVE,1.000209953,0.999853857,1.000006115,0.000356096,2.71E-09
4570555,FALSE POSITIVE,1.000107316,0.999853497,0.999998119,0.000253819,2.22E-09
4570931,FALSE POSITIVE,1.000106789,0.99990083,1.000002656,0.000205959,7.52E-10
4570949,CONFIRMED,1.000210494,0.999421728,0.999870482,0.000788767,4.67E-08
4571004,FALSE POSITIVE,1.000440709,0.999703745,1.000004081,0.000736964,1.37E-08
4571536,FALSE POSITIVE,1.000310701,0.999725074,1.000008564,0.000585627,6.77E-09
4574310,FALSE POSITIVE,1.020418839,0.886149334,0.96079731,0.134269505,0.001585758
4574319,FALSE POSITIVE,1.000585901,0.999054319,1.000004534,0.001531582,1.76E-08
4575824,FALSE POSITIVE,1.000170033,0.99984507,1.000003755,0.000324963,1.86E-09
4577484,FALSE POSITIVE,1.00003596,0.999906309,0.999999309,0.000129651,1.92E-10
4578594,FALSE POSITIVE,1.000964467,0.925831182,0.999761121,0.075133285,1.53E-05
4579313,FALSE POSITIVE,1.000263187,0.999478813,0.999969692,0.000784373,1.68E-08
4579321,FALSE POSITIVE,1.013103104,0.94177649,0.991632879,0.071326614,0.000245686
4579598,FALSE POSITIVE,1.000437296,0.9994355,1.000002021,0.001001796,9.19E-09
4584865,FALSE POSITIVE,1.000216722,0.999850375,1.000001609,0.000366347,3.32E-09
4586482,FALSE POSITIVE,1.000615005,0.880902245,0.99934395,0.119712759,6.14E-05
4587448,FALSE POSITIVE,1.004975369,0.996564451,1.00000792,0.008410918,1.78E-06
4633434,FALSE POSITIVE,1.000903356,0.96210006,0.999256606,0.038803296,2.24E-05
4633570,CONFIRMED,1.000341612,0.999515719,0.99999985,0.000825894,5.50E-09
4634135,FALSE POSITIVE,1.000404294,0.992515059,0.999915536,0.007889235,5.30E-07
4636565,FALSE POSITIVE,1.000044508,0.999951386,0.999999896,9.31E-05,2.35E-10
4636578,CONFIRMED,1.000169881,0.9998043,1.00000069,0.000365581,2.98E-09
4639868,FALSE POSITIVE,1.000049407,0.999912169,1.000000172,0.000137238,3.96E-10
4644604,CONFIRMED,1.000285519,0.999770897,0.999999795,0.000514621,1.59E-09
4644952,CONFIRMED,1.002353725,0.992228441,0.999969806,0.010125285,3.84E-07
4645174,CONFIRMED,1.000137717,0.999673131,1.00000374,0.000464585,1.67E-09
4645492,FALSE POSITIVE,1.000139129,0.999880083,1.000003412,0.000259046,1.06E-09
4645833,FALSE POSITIVE,1.000218555,0.999714229,1.000003419,0.000504326,4.24E-09
4647662,FALSE POSITIVE,1.000126348,0.999893965,1.00000394,0.000232383,1.67E-09
